PROJECT_ID,SAMPLE_ID,blank_or_control,enrichment,include
DCO_BKR,DCO_BKR_Av4v5--Aar_59E_25H2,FALSE,FALSE,TRUE
DCO_BKR,DCO_BKR_Av4v5--Knox_60B_10H2,FALSE,FALSE,TRUE
DCO_BKR,DCO_BKR_Av4v5--Knox_63E_6H2,FALSE,FALSE,TRUE
DCO_BKR,DCO_BKR_Av4v5--Knox_65C_7H2,FALSE,FALSE,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_13H2,FALSE,FALSE,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,FALSE,FALSE,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,FALSE,FALSE,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,FALSE,FALSE,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,FALSE,FALSE,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,FALSE,FALSE,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR44_775m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR44_775m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR1_609m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR13_360m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR2_596m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,FALSE,FALSE,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_1_1,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_1_2,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_1_3,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_1_4,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_2_10,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_2_3,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_1_1,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_1_3,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_1_4,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_2_1,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_2_2,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14D_2_3,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_1,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_2,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_3,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_1_4,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_2_10,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14B_2_3,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_1_1,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_1_3,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_1_4,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_2_1,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_2_2,FALSE,FALSE,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_2_3,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Av6v4--Site17A_447mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Av6v4--Site17A_456mbsf_Av6v,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_178mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_21mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_226mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_264mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_322mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_322mbsf_MDA,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_40mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_419mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_447mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_456mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_554mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_588mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_589mbsf,FALSE,FALSE,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_684mbsf,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1A_Aug13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1A_Jul14,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1B_Aug13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1B_Jul14,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1C_Aug13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1C_Jul14,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3A_Aug13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3A_Jul14,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3B_Aug13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3B_Jul14,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3C_Aug13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1A_Aug13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1A_Jul14,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1B_Aug13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1B_Jul14,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1C_Aug13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1C_Jul14,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_2A_Aug13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_2A_Jul14,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_2B_Aug13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_2B_Jul14,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_2C_Aug13,FALSE,FALSE,TRUE
