VARIABLE,FRACTION_SAMPLES_WITH_VALUES
blank_or_control,0.603758809710258
dna_region,0.603758809710258
domain,0.603758809710258
adapter_sequence,0.602975724353955
target_gene,0.594361785434612
latitude,0.573218480814409
longitude,0.573218480814409
primer_suite,0.572435395458105
run,0.564604541895067
env_biome,0.558339859044636
env_material,0.555207517619421
env_feature,0.554424432263117
sequencing_platform,0.546593578700078
env_package,0.512137823022709
geo_loc_name,0.487079091620987
illumina_index,0.450274079874706
collection_date,0.447924823805795
project_abstract,0.360219263899765
dna_extraction_meth,0.318715740015662
sample_name,0.314017227877839
samp_store_temp,0.291307752545027
pH,0.251370399373532
temperature,0.22866092404072
geo_loc_name_continental,0.22239624119029
tot_depth_water_col,0.220046985121378
dna_quantitation,0.218480814408771
geo_loc_name_marine,0.214565387627251
access_point_type,0.186374314800313
depth_subseafloor,0.173061863743148
sulfate,0.16523101018011
chloride,0.159749412685983
biome_secondary,0.15505090054816
samp_store_dur,0.152701644479248
formation_name,0.148786217697729
material_secondary,0.148003132341425
calcium,0.145653876272514
sample_size_vol,0.141738449490995
depth_subterrestrial,0.136256851996868
sodium,0.132341425215348
sample_type,0.121378230227095
elevation,0.119812059514487
conductivity,0.115113547376664
investigation_type,0.112764291307753
phosphate,0.10806577916993
lithology,0.0978856695379796
ammonium,0.096319498825372
rock_type,0.0955364134690681
feature_secondary,0.0939702427564605
nitrate,0.0916209866875489
methane,0.0900548159749413
redox_state,0.0900548159749413
iron,0.0798747063429914
manganese,0.0759592795614722
sulfide,0.0712607674236492
alkalinity,0.0696945967110415
diss_inorg_carb,0.0649960845732185
microbial_biomass_microscopic,0.0595144870790916
nitrite,0.0587314017227878
iron_II,0.0548159749412686
sample_size_mass,0.0524667188723571
porosity,0.0493343774471417
pressure,0.0485512920908379
dataset,0.0454189506656225
rock_age,0.0438527799530149
salinity,0.0399373531714957
lat_lon,0.0344557556773688
reference,0.033672670321065
diss_org_carb,0.0305403288958496
magnesium,0.0305403288958496
isol_growth_cond,0.028974158183242
diss_inorg_carbon_del13C,0.0274079874706343
data_source,0.0250587314017228
habitat_description,0.0250587314017228
sulfate_red_depth,0.0250587314017228
diss_oxygen,0.0234925606891151
tot_org_carb,0.0234925606891151
methane_del13C,0.0227094753328113
dataset_id,0.0219263899765074
forward_primer,0.0219263899765074
potassium,0.0219263899765074
reverse_primer,0.0219263899765074
trace_element_geochem,0.0203602192638998
noble_gas_chemistry,0.0187940485512921
water_age,0.0180109631949883
methane_ox_depth,0.0172278778386844
perc_core_recovered,0.0172278778386844
TDS,0.0156617071260767
bicarbonate,0.0156617071260767
microbial_biomass_qPCR,0.0156617071260767
NPOC,0.0140955364134691
