PROJECT_ID,SAMPLE_ID,blank_or_control,dna_region,domain,enrichment,env_biome,env_feature,env_material,geohydroconnectivity,latitude,longitude,ph,temperature
DCO_BKR,DCO_BKR_Av4v5--Aar_59E_25H2,FALSE,v4v5,Archaea,FALSE,"marine biome",borehole,sediment,low,55.004821,10.108177,7.01,null
DCO_BKR,DCO_BKR_Av4v5--Knox_60B_10H2,FALSE,v4v5,Archaea,FALSE,"marine biome",borehole,sediment,low,56.620161,11.670677,7.89,null
DCO_BKR,DCO_BKR_Av4v5--Knox_63E_6H2,FALSE,v4v5,Archaea,FALSE,"marine biome",borehole,sediment,low,58.622326,18.254166,8.02,null
DCO_BKR,DCO_BKR_Av4v5--Knox_65C_7H2,FALSE,v4v5,Archaea,FALSE,"marine biome",borehole,sediment,low,55.463252,15.474324,7.41,null
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_13H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,low,55.004821,10.108177,7.79,null
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,low,55.004821,10.108177,6.86,null
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,low,55.463252,15.474324,7.45,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,low,56.620161,11.670677,7.89,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,low,56.620161,11.670677,8.01,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,low,58.622326,18.254166,7.7,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,low,58.622326,18.254166,8.02,null
DCO_BOM,DCO_BOM_Av6--OL_KR13_360m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.9,9
DCO_BOM,DCO_BOM_Av6--OL_KR1_609m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.8,13
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.5,9.8
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.3,16.6
DCO_BOM,DCO_BOM_Av6--OL_KR2_596m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,8.6,12.9
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,8.3,10
DCO_BOM,DCO_BOM_Av6--OL_KR44_775m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.8,14.8
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.4,10.5
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.9,10.8
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.9,9.5
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.7,10.6
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,8.1,12
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,FALSE,v6,Bacteria,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.9,9
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,FALSE,v6,Bacteria,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.8,13
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,FALSE,v6,Bacteria,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.5,9.8
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,FALSE,v6,Bacteria,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.3,16.6
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,FALSE,v6,Bacteria,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,8.6,12.9
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,FALSE,v6,Bacteria,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,8.3,10
DCO_BOM,DCO_BOM_Bv6--OL_KR44_775m,FALSE,v6,Bacteria,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.8,14.8
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,FALSE,v6,Bacteria,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.4,10.5
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,FALSE,v6,Bacteria,FALSE,"terrestrial biome",borehole,water,low,61.24,21.44,7.9,10.8
