SAMPLE_ID,LATITUDE,LONGITUDE
DCO_BOM--OL_KR13_360m,61.24,21.44
DCO_BOM--OL_KR1_609m,61.24,21.44
DCO_BOM--OL_KR23_424m,61.24,21.44
DCO_BOM--OL_KR29_801m,61.24,21.44
DCO_BOM--OL_KR2_596m,61.24,21.44
DCO_BOM--OL_KR3_380m,61.24,21.44
DCO_BOM--OL_KR44_775m,61.24,21.44
DCO_BOM--OL_KR49_532m,61.24,21.44
DCO_BOM--OL_KR5_457m,61.24,21.44
DCO_BOM--OL_KR6_422m,61.24,21.44
DCO_BOM--OL_KR9_468m,61.24,21.44
DCO_BOM--OL_KR9_564m,61.24,21.44
DCO_BRZ--CRO_CSW1_1A_Aug13,38.862,-122.414
DCO_BRZ--CRO_CSW1_1A_Jul14,38.862,-122.414
DCO_BRZ--CRO_CSW1_1B_Aug13,38.862,-122.414
DCO_BRZ--CRO_CSW1_1B_Jul14,38.862,-122.414
DCO_BRZ--CRO_CSW1_1C_Aug13,38.862,-122.414
DCO_BRZ--CRO_CSW1_1C_Jul14,38.862,-122.414
DCO_BRZ--CRO_CSW1_3A_Aug13,38.862,-122.41402
DCO_BRZ--CRO_CSW1_3A_Jul14,38.862,-122.41402
DCO_BRZ--CRO_CSW1_3B_Aug13,38.862,-122.41402
DCO_BRZ--CRO_CSW1_3B_Jul14,38.862,-122.41402
DCO_BRZ--CRO_CSW1_3C_Aug13,38.862,-122.41402
DCO_BRZ--CRO_QV1_1A_Aug13,38.862,-122.43006
DCO_BRZ--CRO_QV1_1A_Jul14,38.862,-122.43006
DCO_BRZ--CRO_QV1_1B_Aug13,38.862,-122.43006
DCO_BRZ--CRO_QV1_1B_Jul14,38.862,-122.43006
DCO_BRZ--CRO_QV1_1C_Aug13,38.862,-122.43006
DCO_BRZ--CRO_QV1_1C_Jul14,38.862,-122.43006
DCO_BRZ--CRO_QV1_2A_Aug13,38.86202,-122.43006
DCO_BRZ--CRO_QV1_2A_Jul14,38.86202,-122.43006
DCO_BRZ--CRO_QV1_2B_Aug13,38.86202,-122.43006
DCO_BRZ--CRO_QV1_2B_Jul14,38.86202,-122.43006
DCO_BRZ--CRO_QV1_2C_Aug13,38.86202,-122.43006
DCO_BRZ--CSWold_A_Aug13,38.86193,-122.414
DCO_BRZ--CSWold_A_Dec13,38.86193,-122.414
DCO_BRZ--N08A_A_Dec13,38.862,-122.43
DCO_BRZ--N08A_B_Aug13,38.862,-122.43
DCO_BRZ--N08Aa_Aug12,38.862,-122.43
DCO_BRZ--N08B_A_Aug13,38.86201,-122.43
DCO_BRZ--N08B_A_Dec13,38.86201,-122.43
