SAMPLE_ID,LATITUDE,LONGITUDE
DCO_LIN--TWNCO2_1518m,24.093,120.389
DCO_LIN--TWNCO2_1520m,24.093,120.389
DCO_LIN--TWNCO2_1564m,24.093,120.389
DCO_LIN--TWNCO2_1614m,24.093,120.389
DCO_LIN--TWNCO2_1675m,24.093,120.389
DCO_LIN--TWNCO2_1733m,24.093,120.389
DCO_LIN--TWNCO2_1788m,24.093,120.389
DCO_LIN--TWNCO2_1814m,24.093,120.389
DCO_LIN--TWNCO2_1909m,24.093,120.389
DCO_LIN--TWNCO2_1956m,24.093,120.389
DCO_LIN--TWNCO2_2003m,24.093,120.389
DCO_LIN--TWNCO2_2056m,24.093,120.389
DCO_LIN--TWNCO2_2108m,24.093,120.389
DCO_LIN--TWNCO2_2172m,24.093,120.389
DCO_LIN--TWNCO2_2224m,24.093,120.389
DCO_LIN--TWNCO2_2273m,24.093,120.389
DCO_LIN--TWNCO2_2325m,24.093,120.389
DCO_LIN--TWNCO2_2397m,24.093,120.389
DCO_LIN--TWNCO2_2419m,24.093,120.389
DCO_LIN--TWNCO2_2465m,24.093,120.389
DCO_LIN--TWNCO2_2496m,24.093,120.389
DCO_LIN--TWNCO2_2547m,24.093,120.389
DCO_LIN--TWNCO2_2616m,24.093,120.389
DCO_LIN--TWNCO2_2659m,24.093,120.389
DCO_ORC--IODP_X336_U1383C_11R,22.80221,-46.05259
DCO_ORC--IODP_X336_U1383C_24R,22.80221,-46.05259
DCO_ORC--IODP_X336_U1383C_30R,22.80221,-46.05259
DCO_ORC--JdF16R2,47.76103,-127.7612
DCO_ORC--JdF21R1A,47.76103,-127.7612
DCO_ORC--JdF21R1B,47.76103,-127.7612
