SAMPLE_ID,LATITUDE,LONGITUDE
DCO_BRA--IODP_331_Site_C14B_1_1,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14B_1_2,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14B_1_3,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14B_1_4,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14B_2_10,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14B_2_3,27.790218,126.900747
DCO_BRA--IODP_331_Site_C14D_1_1,27.79026,126.900677
DCO_BRA--IODP_331_Site_C14D_1_3,27.79026,126.900677
DCO_BRA--IODP_331_Site_C14D_1_4,27.79026,126.900677
DCO_BRA--IODP_331_Site_C14D_2_1,27.79026,126.900677
DCO_BRA--IODP_331_Site_C14D_2_2,27.79026,126.900677
DCO_BRA--IODP_331_Site_C14D_2_3,27.79026,126.900677
DCO_BRG--Site17A_178mbsf,11.2811,93.1
DCO_BRG--Site17A_21mbsf,11.2811,93.1
DCO_BRG--Site17A_226mbsf,11.2811,93.1
DCO_BRG--Site17A_264mbsf,11.2811,93.1
DCO_BRG--Site17A_322mbsf,11.2811,93.1
DCO_BRG--Site17A_322mbsf_MDA,11.2811,93.1
DCO_BRG--Site17A_40mbsf,11.2811,93.1
DCO_BRG--Site17A_419mbsf,11.2811,93.1
DCO_BRG--Site17A_447mbsf,11.2811,93.1
DCO_BRG--Site17A_456mbsf,11.2811,93.1
DCO_BRG--Site17A_554mbsf,11.2811,93.1
DCO_BRG--Site17A_588mbsf,11.2811,93.1
DCO_BRG--Site17A_589mbsf,11.2811,93.1
DCO_BRG--Site17A_684mbsf,11.2811,93.1
DCO_GMSB--P10_2,27.3,-111.42
DCO_GMSB--P10_4,27.3,-111.42
DCO_GMSB--P11_2,27.3,-111.4
DCO_GMSB--P11_5,27.3,-111.4
DCO_GMSB--P12_4,27.52,-111.41
DCO_GMSB--P13_4,27.12,-111.13
DCO_GMSB--P3_4,27.37,-111.52
DCO_GMSB--P4_3,27.38,-111.53
DCO_GMSB--P6_3,27.38,-111.36
DCO_GMSB--P6_4,27.38,-111.36
DCO_KLA--Cetus_summit_220,37.88012,17.46227
DCO_KLA--Cetus_summit_40,37.88012,17.46227
DCO_KLA--Venere_flow_150_m_from_summit_5,38.60658,17.18934
DCO_KLA--Venere_flow_150_m_from_summit_60,38.60655,17.18913
DCO_KLA--Venere_flow_80_m_from_summit_2,38.6075,17.18804
DCO_KLA--Venere_flow_80_m_from_summit_267,38.60747,17.18803
DCO_KLA--Venere_flow_80_m_from_summit_48,38.60747,17.18803
DCO_KLA--Venere_summit_2,38.60757,17.18708
DCO_KLA--Venere_summit_470,38.60758,17.18705
DCO_KLA--Venere_summit_88,38.60758,17.18705
DCO_LAZ--PC1A,9.078,87.096
DCO_LAZ--PC1A_2,9.078,87.096
DCO_LAZ--PC2A,9.081,87.094
DCO_LAZ--PC2B,9.081,87.093
DCO_LAZ--PC2C,9.081,87.093
DCO_LAZ--PC2D,9.077,87.091
DCO_LAZ--PC3A,9.089,87.1
DCO_LAZ--PC3A_2,9.089,87.1
DCO_LAZ--PC3B,9.089,87.1
DCO_LAZ--PC3B_2,9.089,87.1
DCO_LAZ--PC3C,9.089,87.1
DCO_LAZ--PC3C_2,9.089,87.1
DCO_LAZ--PC4A,9.086,87.1
DCO_LAZ--PC4B,9.086,87.1
DCO_ORC--IODP_X336_U1382B_10H4,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_1H3,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_2H2,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_2H4,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_4H4,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_7H6,22.75547,-46.08125
DCO_ORC--IODP_X336_U1382B_8H6,22.75547,-46.08125
DCO_ORC--JdF4H2,47.28877,-128.03562
DCO_ORC--JdF4HCC,47.28877,-128.03562
DCO_ORC--JdF5X1,47.289197,-128.0351
DCO_ORC--JdF8X2,47.289197,-128.0351
DCO_ORC--JdF8X5,47.289197,-128.0351
DCO_ORC--NP13501,22.78,-46.11
DCO_ORC--NP13504,22.83,-46.05
DCO_ORC--Orc4H1,47.28877,-128.03562
DCO_ORC--Orc4H3_upper,47.28877,-128.03562
DCO_RAM--MSM16_2_809_1_MUC,72.003,14.732
DCO_RAM--MSM16_2_823_1_MUC,72.003,14.732
DCO_RAM--MSM16_2_838_1_MUC,72.005,14.726
DCO_RAM--MSM16_2_847_1_MUC,72.004,14.727
DCO_RAM--MSM16_2_855_1_MUC,72.004,14.73
DCO_RAM--PS64_312_1_MUC,72.004,14.725
DCO_RAM--PS64_317_PUC_17,72.003,14.731
DCO_RAM--PS64_326_PUC_12,72.001,14.719
DCO_RAM--PS64_332_1_GC,72.005,14.726
DCO_RAM--PS64_336_1_GC,72.0,14.726
DCO_RAM--PS64_372_1_GC,72.004,14.727
DCO_RAM--PS64_373_1_GC,72.003,14.728
DCO_RAM--PS74_2_168_1_MUC,72.005,14.724
DCO_RAM--PS74_2_169_1_PUC3,72.005,14.726
DCO_RAM--PS74_2_172_1_PUC131,72.005,14.726
